fecha,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,et0_fao_evapotranspiration,zona,latitude,longitude
2023-01-01,32.0,22.2,0.0,16.9,68,5.13,Cerro_Blanco,-2.18,-80.02
2023-01-02,30.1,23.4,0.0,11.7,69,3.13,Cerro_Blanco,-2.18,-80.02
2023-01-03,31.0,22.9,0.5,13.4,73,4.11,Cerro_Blanco,-2.18,-80.02
2023-01-04,28.7,22.3,3.1,13.4,78,3.52,Cerro_Blanco,-2.18,-80.02
2023-01-05,31.0,21.5,0.0,15.3,71,4.66,Cerro_Blanco,-2.18,-80.02
2023-01-06,31.4,21.1,0.0,15.3,72,4.71,Cerro_Blanco,-2.18,-80.02
2023-01-07,28.8,21.5,2.2,11.9,78,3.58,Cerro_Blanco,-2.18,-80.02
2023-01-08,29.1,21.6,0.9,14.0,76,3.41,Cerro_Blanco,-2.18,-80.02
2023-01-09,31.0,22.3,2.6,15.1,74,4.52,Cerro_Blanco,-2.18,-80.02
2023-01-10,31.1,22.1,3.0,14.8,71,4.74,Cerro_Blanco,-2.18,-80.02
2023-01-11,30.3,22.5,1.0,15.5,71,3.95,Cerro_Blanco,-2.18,-80.02
2023-01-12,32.0,21.9,0.0,18.0,67,4.71,Cerro_Blanco,-2.18,-80.02
2023-01-13,32.9,21.8,0.0,17.5,67,5.19,Cerro_Blanco,-2.18,-80.02
2023-01-14,32.8,23.0,6.7,17.2,71,4.32,Cerro_Blanco,-2.18,-80.02
2023-01-15,30.5,22.3,0.1,14.8,74,4.23,Cerro_Blanco,-2.18,-80.02
2023-01-16,30.9,22.2,0.2,13.6,70,4.97,Cerro_Blanco,-2.18,-80.02
2023-01-17,30.6,22.1,0.1,14.0,73,4.37,Cerro_Blanco,-2.18,-80.02
2023-01-18,31.9,22.3,0.2,12.7,69,5.17,Cerro_Blanco,-2.18,-80.02
2023-01-19,30.4,22.8,9.3,16.4,75,3.7,Cerro_Blanco,-2.18,-80.02
2023-01-20,29.6,22.2,31.5,10.7,81,4.24,Cerro_Blanco,-2.18,-80.02
2023-01-21,30.4,22.5,1.4,11.7,77,4.61,Cerro_Blanco,-2.18,-80.02
2023-01-22,29.6,23.2,1.4,9.7,75,4.6,Cerro_Blanco,-2.18,-80.02
2023-01-23,29.8,23.2,7.9,8.0,79,3.89,Cerro_Blanco,-2.18,-80.02
2023-01-24,29.5,23.3,3.0,12.2,77,4.06,Cerro_Blanco,-2.18,-80.02
2023-01-25,29.8,22.7,2.5,11.6,75,4.09,Cerro_Blanco,-2.18,-80.02
2023-01-26,30.8,22.3,0.1,10.4,75,4.48,Cerro_Blanco,-2.18,-80.02
2023-01-27,31.3,23.0,4.7,9.4,79,4.11,Cerro_Blanco,-2.18,-80.02
2023-01-28,30.3,23.2,6.9,9.0,80,3.64,Cerro_Blanco,-2.18,-80.02
2023-01-29,30.1,23.8,0.1,17.8,75,4.7,Cerro_Blanco,-2.18,-80.02
2023-01-30,29.9,23.9,2.8,10.8,75,4.4,Cerro_Blanco,-2.18,-80.02
2023-01-31,28.9,22.5,23.9,11.0,84,3.78,Cerro_Blanco,-2.18,-80.02
2023-02-01,29.7,23.1,5.1,13.3,82,4.45,Cerro_Blanco,-2.18,-80.02
2023-02-02,29.2,23.3,1.3,14.9,81,4.31,Cerro_Blanco,-2.18,-80.02
2023-02-03,29.0,24.0,1.1,13.4,77,4.13,Cerro_Blanco,-2.18,-80.02
2023-02-04,29.2,23.8,14.6,12.1,82,3.72,Cerro_Blanco,-2.18,-80.02
2023-02-05,29.2,23.3,5.4,10.5,83,3.48,Cerro_Blanco,-2.18,-80.02
2023-02-06,30.2,23.3,2.0,10.4,81,4.26,Cerro_Blanco,-2.18,-80.02
2023-02-07,29.9,23.3,1.8,12.8,81,4.0,Cerro_Blanco,-2.18,-80.02
2023-02-08,30.2,23.8,7.1,10.1,78,4.38,Cerro_Blanco,-2.18,-80.02
2023-02-09,29.7,23.4,48.0,14.3,86,3.62,Cerro_Blanco,-2.18,-80.02
2023-02-10,29.8,23.6,5.3,11.2,85,4.17,Cerro_Blanco,-2.18,-80.02
2023-02-11,28.8,23.9,4.1,11.8,85,3.25,Cerro_Blanco,-2.18,-80.02
2023-02-12,29.6,23.2,11.4,13.5,85,3.96,Cerro_Blanco,-2.18,-80.02
2023-02-13,29.2,23.5,17.5,12.4,86,3.4,Cerro_Blanco,-2.18,-80.02
2023-02-14,29.6,24.0,12.8,11.5,86,3.84,Cerro_Blanco,-2.18,-80.02
2023-02-15,28.8,22.8,43.8,9.2,87,3.54,Cerro_Blanco,-2.18,-80.02
2023-02-16,29.4,23.6,12.1,11.6,86,3.31,Cerro_Blanco,-2.18,-80.02
2023-02-17,30.0,23.5,3.7,10.5,84,4.0,Cerro_Blanco,-2.18,-80.02
2023-02-18,30.2,23.3,13.6,7.7,87,3.84,Cerro_Blanco,-2.18,-80.02
2023-02-19,30.1,23.8,6.4,6.6,83,4.01,Cerro_Blanco,-2.18,-80.02
2023-02-20,27.4,23.6,17.4,9.4,89,1.86,Cerro_Blanco,-2.18,-80.02
2023-02-21,27.3,23.2,17.1,7.6,91,2.16,Cerro_Blanco,-2.18,-80.02
2023-02-22,28.9,22.8,38.4,7.1,90,3.29,Cerro_Blanco,-2.18,-80.02
2023-02-23,29.7,22.6,15.6,12.5,87,3.91,Cerro_Blanco,-2.18,-80.02
2023-02-24,29.9,22.7,50.6,10.4,88,3.63,Cerro_Blanco,-2.18,-80.02
2023-02-25,28.6,22.8,22.2,9.4,89,2.63,Cerro_Blanco,-2.18,-80.02
2023-02-26,28.0,23.8,21.4,8.6,90,2.74,Cerro_Blanco,-2.18,-80.02
2023-02-27,30.1,23.8,25.9,6.5,88,3.65,Cerro_Blanco,-2.18,-80.02
2023-02-28,28.8,24.0,16.9,8.5,89,3.2,Cerro_Blanco,-2.18,-80.02
2023-03-01,29.8,24.2,7.3,7.9,84,3.84,Cerro_Blanco,-2.18,-80.02
2023-03-02,28.2,24.5,17.7,10.7,88,3.1,Cerro_Blanco,-2.18,-80.02
2023-03-03,29.5,23.6,5.4,9.6,84,4.18,Cerro_Blanco,-2.18,-80.02
2023-03-04,29.0,23.6,11.9,7.8,86,3.5,Cerro_Blanco,-2.18,-80.02
2023-03-05,29.1,24.1,39.9,12.6,88,3.22,Cerro_Blanco,-2.18,-80.02
2023-03-06,29.0,23.5,55.6,14.0,89,3.29,Cerro_Blanco,-2.18,-80.02
2023-03-07,28.4,23.8,35.9,10.4,87,3.1,Cerro_Blanco,-2.18,-80.02
2023-03-08,29.2,23.6,21.7,13.7,87,3.89,Cerro_Blanco,-2.18,-80.02
2023-03-09,25.1,23.0,40.9,9.8,93,1.42,Cerro_Blanco,-2.18,-80.02
2023-03-10,28.5,22.8,9.5,11.7,88,3.0,Cerro_Blanco,-2.18,-80.02
2023-03-11,29.2,22.9,1.6,7.6,84,3.45,Cerro_Blanco,-2.18,-80.02
2023-03-12,29.2,23.1,0.0,11.3,87,3.55,Cerro_Blanco,-2.18,-80.02
2023-03-13,29.8,22.5,7.1,9.3,86,4.08,Cerro_Blanco,-2.18,-80.02
2023-03-14,28.6,22.2,32.4,8.7,91,2.92,Cerro_Blanco,-2.18,-80.02
2023-03-15,28.8,22.9,1.6,8.0,88,3.96,Cerro_Blanco,-2.18,-80.02
2023-03-16,30.0,23.0,4.5,9.5,86,4.21,Cerro_Blanco,-2.18,-80.02
2023-03-17,29.8,22.4,2.6,9.1,85,4.37,Cerro_Blanco,-2.18,-80.02
2023-03-18,30.5,22.1,0.2,13.4,82,4.45,Cerro_Blanco,-2.18,-80.02
2023-03-19,28.8,22.6,5.9,10.8,89,3.28,Cerro_Blanco,-2.18,-80.02
2023-03-20,29.6,22.5,0.1,8.7,86,4.3,Cerro_Blanco,-2.18,-80.02
2023-03-21,30.6,23.7,2.8,7.6,87,4.03,Cerro_Blanco,-2.18,-80.02
2023-03-22,29.1,23.2,20.6,12.9,87,4.03,Cerro_Blanco,-2.18,-80.02
2023-03-23,28.8,23.0,17.4,9.0,90,3.07,Cerro_Blanco,-2.18,-80.02
2023-03-24,28.0,22.8,11.8,9.2,90,3.02,Cerro_Blanco,-2.18,-80.02
2023-03-25,29.3,22.7,8.4,13.2,89,3.9,Cerro_Blanco,-2.18,-80.02
2023-03-26,29.6,23.5,20.8,8.7,89,4.06,Cerro_Blanco,-2.18,-80.02
2023-03-27,27.2,23.5,28.4,8.2,91,2.28,Cerro_Blanco,-2.18,-80.02
2023-03-28,29.8,23.0,40.1,8.5,89,3.76,Cerro_Blanco,-2.18,-80.02
2023-03-29,30.5,22.9,14.3,18.9,85,4.7,Cerro_Blanco,-2.18,-80.02
2023-03-30,29.4,24.7,12.6,11.6,87,3.72,Cerro_Blanco,-2.18,-80.02
2023-03-31,27.8,23.6,37.8,7.3,90,2.35,Cerro_Blanco,-2.18,-80.02
2023-04-01,27.9,23.4,47.7,8.4,91,2.82,Cerro_Blanco,-2.18,-80.02
2023-04-02,29.2,22.9,35.3,11.2,91,3.06,Cerro_Blanco,-2.18,-80.02
2023-04-03,29.0,23.0,33.7,11.2,90,3.55,Cerro_Blanco,-2.18,-80.02
2023-04-04,29.2,23.5,12.6,9.0,89,3.66,Cerro_Blanco,-2.18,-80.02
2023-04-05,28.5,23.9,17.0,11.3,91,3.25,Cerro_Blanco,-2.18,-80.02
2023-04-06,27.4,23.0,6.5,11.7,91,2.1,Cerro_Blanco,-2.18,-80.02
2023-04-07,28.6,23.0,2.8,10.4,89,3.22,Cerro_Blanco,-2.18,-80.02
2023-04-08,29.6,23.5,7.3,8.4,86,3.9,Cerro_Blanco,-2.18,-80.02
2023-04-09,30.0,24.2,8.7,5.9,87,3.58,Cerro_Blanco,-2.18,-80.02
2023-04-10,29.0,23.5,23.8,11.3,89,2.76,Cerro_Blanco,-2.18,-80.02
2023-04-11,30.3,23.2,5.6,9.4,86,4.27,Cerro_Blanco,-2.18,-80.02
2023-04-12,28.5,23.9,52.9,8.8,90,2.99,Cerro_Blanco,-2.18,-80.02
2023-04-13,29.4,23.8,54.1,11.0,89,3.52,Cerro_Blanco,-2.18,-80.02
2023-04-14,29.6,24.0,43.6,11.0,89,3.27,Cerro_Blanco,-2.18,-80.02
2023-04-15,29.5,23.1,40.2,14.7,89,3.3,Cerro_Blanco,-2.18,-80.02
2023-04-16,29.2,23.4,38.0,7.4,90,3.26,Cerro_Blanco,-2.18,-80.02
2023-04-17,29.0,23.0,11.6,9.8,88,3.16,Cerro_Blanco,-2.18,-80.02
2023-04-18,30.3,23.1,7.8,13.0,87,4.32,Cerro_Blanco,-2.18,-80.02
2023-04-19,29.4,23.5,28.1,8.9,89,3.4,Cerro_Blanco,-2.18,-80.02
2023-04-20,29.4,23.5,20.0,6.9,90,3.12,Cerro_Blanco,-2.18,-80.02
2023-04-21,29.6,23.4,3.6,8.1,85,3.74,Cerro_Blanco,-2.18,-80.02
2023-04-22,29.1,23.7,29.3,12.6,88,2.95,Cerro_Blanco,-2.18,-80.02
2023-04-23,27.5,22.9,40.5,8.0,89,2.14,Cerro_Blanco,-2.18,-80.02
2023-04-24,30.9,22.3,0.0,11.6,83,4.43,Cerro_Blanco,-2.18,-80.02
2023-04-25,30.2,23.1,10.2,9.8,87,3.82,Cerro_Blanco,-2.18,-80.02
2023-04-26,28.8,23.4,18.5,11.4,90,2.67,Cerro_Blanco,-2.18,-80.02
2023-04-27,30.4,22.3,12.4,7.9,86,3.84,Cerro_Blanco,-2.18,-80.02
2023-04-28,29.9,23.7,30.7,10.8,88,3.27,Cerro_Blanco,-2.18,-80.02
2023-04-29,30.3,23.0,13.9,10.6,89,4.06,Cerro_Blanco,-2.18,-80.02
2023-04-30,29.5,23.5,28.9,10.0,89,3.63,Cerro_Blanco,-2.18,-80.02
2023-05-01,28.8,23.1,19.2,7.6,87,3.81,Cerro_Blanco,-2.18,-80.02
2023-05-02,30.0,24.4,16.5,9.9,86,3.71,Cerro_Blanco,-2.18,-80.02
2023-05-03,30.0,24.2,16.0,8.0,86,3.66,Cerro_Blanco,-2.18,-80.02
2023-05-04,30.0,24.2,13.1,7.3,86,3.83,Cerro_Blanco,-2.18,-80.02
2023-05-05,29.4,24.7,6.9,9.0,86,3.39,Cerro_Blanco,-2.18,-80.02
2023-05-06,30.6,24.3,5.2,7.1,84,4.07,Cerro_Blanco,-2.18,-80.02
2023-05-07,29.3,24.6,16.2,12.6,89,3.69,Cerro_Blanco,-2.18,-80.02
2023-05-08,31.0,24.4,5.0,10.0,85,3.95,Cerro_Blanco,-2.18,-80.02
2023-05-09,29.6,24.9,12.0,11.9,85,3.06,Cerro_Blanco,-2.18,-80.02
2023-05-10,29.5,24.5,23.9,8.8,89,2.74,Cerro_Blanco,-2.18,-80.02
2023-05-11,29.1,24.1,19.0,9.7,90,3.07,Cerro_Blanco,-2.18,-80.02
2023-05-12,30.0,24.0,8.2,9.0,88,3.51,Cerro_Blanco,-2.18,-80.02
2023-05-13,29.5,24.2,8.5,12.5,87,3.21,Cerro_Blanco,-2.18,-80.02
2023-05-14,29.5,23.7,5.5,13.1,88,2.79,Cerro_Blanco,-2.18,-80.02
2023-05-15,29.8,24.5,31.9,14.7,86,3.26,Cerro_Blanco,-2.18,-80.02
2023-05-16,29.8,24.0,22.9,11.9,86,3.66,Cerro_Blanco,-2.18,-80.02
2023-05-17,29.4,23.5,2.5,11.8,87,3.83,Cerro_Blanco,-2.18,-80.02
2023-05-18,29.7,24.3,4.5,12.2,85,3.89,Cerro_Blanco,-2.18,-80.02
2023-05-19,30.3,23.5,12.8,11.2,86,3.91,Cerro_Blanco,-2.18,-80.02
2023-05-20,29.9,23.5,0.8,14.6,84,3.78,Cerro_Blanco,-2.18,-80.02
2023-05-21,28.7,23.9,3.0,13.7,84,3.06,Cerro_Blanco,-2.18,-80.02
2023-05-22,29.1,23.3,8.0,9.7,85,3.63,Cerro_Blanco,-2.18,-80.02
2023-05-23,28.6,23.5,8.8,9.5,88,2.71,Cerro_Blanco,-2.18,-80.02
2023-05-24,28.3,23.9,10.1,13.3,87,3.08,Cerro_Blanco,-2.18,-80.02
2023-05-25,28.8,23.9,3.6,12.0,85,3.3,Cerro_Blanco,-2.18,-80.02
2023-05-26,30.6,23.0,4.3,10.0,84,3.83,Cerro_Blanco,-2.18,-80.02
2023-05-27,27.7,24.5,5.7,11.2,88,2.22,Cerro_Blanco,-2.18,-80.02
2023-05-28,29.0,23.5,11.7,7.8,88,3.02,Cerro_Blanco,-2.18,-80.02
2023-05-29,28.8,23.5,20.0,13.9,88,3.51,Cerro_Blanco,-2.18,-80.02
2023-05-30,30.2,22.5,1.3,11.2,84,4.0,Cerro_Blanco,-2.18,-80.02
2023-05-31,28.5,23.1,14.5,10.7,85,3.2,Cerro_Blanco,-2.18,-80.02
