latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-2.17528,-80.04297,302.78,0.47,0.4,2023-01-06,658,N,VIIRS,n,2,286.63,0.87,N,0
-2.07868,-79.96786,302.2,0.47,0.4,2023-01-06,658,N,VIIRS,n,2,289.55,0.74,N,0
-2.03635,-80.06509,334.81,0.46,0.39,2023-01-08,1900,N,VIIRS,n,2,295.06,4.4,D,0
-2.0278,-80.05791,342.69,0.46,0.39,2023-01-08,1900,N,VIIRS,n,2,297.67,46.89,D,0
-2.03273,-80.06567,339.09,0.46,0.39,2023-01-08,1900,N,VIIRS,n,2,295.43,6.25,D,0
-1.8635,-79.87448,334.67,0.4,0.37,2023-01-09,1841,N,VIIRS,n,2,297.17,2.09,D,0
-1.98345,-79.83345,341.91,0.4,0.6,2023-01-12,1925,N,VIIRS,n,2,290.85,4.63,D,0
-1.96703,-79.87119,346.92,0.39,0.44,2023-01-13,1906,N,VIIRS,n,2,299.75,7.99,D,0
-1.9065,-79.92404,331.65,0.38,0.36,2023-01-14,1847,N,VIIRS,n,2,294.19,1.8,D,0
-2.17786,-80.04044,331.67,0.38,0.36,2023-01-14,1847,N,VIIRS,n,2,299.01,3.23,D,2
-2.18732,-79.77325,337.03,0.49,0.49,2023-01-18,1913,N,VIIRS,n,2,285.29,6.68,D,0
-1.94055,-80.01923,332.13,0.61,0.54,2023-01-23,1919,N,VIIRS,n,2,292.49,2.87,D,0
-2.2481,-79.81043,332.13,0.4,0.37,2023-01-25,1841,N,VIIRS,l,2,306.07,7.81,D,0
-2.17684,-80.04152,304.13,0.41,0.37,2023-02-02,652,N,VIIRS,n,2,289.73,0.55,N,2
-2.17609,-80.04102,304.12,0.38,0.43,2023-04-01,705,N,VIIRS,n,2,288.33,0.64,N,0
-2.17567,-80.0406,306.89,0.41,0.37,2023-05-09,652,N,VIIRS,n,2,291.79,1.13,N,0
-1.97745,-79.88499,331.59,0.48,0.48,2023-05-26,1913,N,VIIRS,n,2,292.96,2.92,D,0
-2.09103,-79.7702,332.39,0.4,0.37,2023-06-02,1841,N,VIIRS,n,2,296.23,2.21,D,0
-1.95552,-80.00146,336.76,0.4,0.37,2023-06-02,1841,N,VIIRS,n,2,295.68,2.62,D,0
-2.17672,-80.04043,305.15,0.4,0.37,2023-06-16,639,N,VIIRS,n,2,287.69,0.69,N,2
-2.12556,-79.98277,302.74,0.38,0.36,2023-06-21,645,N,VIIRS,n,2,291.79,0.45,N,0
-2.1762,-80.04247,304.02,0.46,0.39,2023-06-27,633,N,VIIRS,n,2,289.39,1.03,N,2
-2.17671,-80.04088,306.23,0.46,0.39,2023-06-27,633,N,VIIRS,n,2,290.0,1.09,N,2
-2.07767,-79.96693,302.51,0.46,0.39,2023-07-13,633,N,VIIRS,n,2,291.07,0.38,N,0
-2.17808,-80.04041,305.46,0.46,0.39,2023-07-13,633,N,VIIRS,n,2,291.7,1.07,N,2
-1.92947,-80.09645,329.2,0.62,0.54,2023-07-16,1816,N,VIIRS,n,2,291.77,4.03,D,0
-1.92623,-80.09877,345.13,0.48,0.48,2023-07-21,1822,N,VIIRS,n,2,294.75,6.3,D,0
-2.22859,-79.79409,306.56,0.39,0.36,2023-07-23,645,N,VIIRS,n,2,291.99,0.54,N,0
-2.22526,-79.79358,304.1,0.39,0.36,2023-07-23,645,N,VIIRS,n,2,291.88,0.54,N,0
-2.17634,-80.04048,309.82,0.38,0.36,2023-07-23,645,N,VIIRS,n,2,291.46,0.7,N,2
-2.17648,-80.03952,302.09,0.46,0.39,2023-07-29,633,N,VIIRS,n,2,289.96,0.75,N,0
-2.17582,-80.04366,301.64,0.46,0.39,2023-07-29,633,N,VIIRS,n,2,289.5,0.98,N,0
-1.95436,-79.97937,334.29,0.48,0.48,2023-07-29,1913,N,VIIRS,n,2,292.58,4.92,D,0
-2.06661,-80.01702,334.42,0.4,0.37,2023-07-30,1854,N,VIIRS,n,2,293.62,3.32,D,0
-1.91624,-80.0589,335.21,0.4,0.37,2023-07-30,1854,N,VIIRS,n,2,298.15,5.87,D,0
-1.87862,-79.86786,335.73,0.45,0.39,2023-07-31,1835,N,VIIRS,n,2,294.72,4.12,D,0
-2.07813,-79.96709,301.8,0.4,0.37,2023-08-03,639,N,VIIRS,n,2,290.76,0.45,N,0
-2.17784,-80.04154,312.35,0.4,0.37,2023-08-03,639,N,VIIRS,n,2,292.03,1.5,N,2
-1.88842,-80.01997,332.99,0.38,0.36,2023-08-10,1847,N,VIIRS,n,2,299.12,2.8,D,0
-1.90713,-80.03128,335.6,0.38,0.36,2023-08-10,1847,N,VIIRS,n,2,298.25,3.77,D,0
-1.93162,-80.0135,333.39,0.38,0.36,2023-08-10,1847,N,VIIRS,n,2,299.18,6.19,D,0
-2.17888,-80.04118,301.9,0.49,0.49,2023-08-12,710,N,VIIRS,n,2,289.29,0.67,N,2
-2.07796,-79.96669,302.21,0.41,0.37,2023-08-13,652,N,VIIRS,n,2,289.7,0.59,N,0
-2.17778,-80.04167,314.74,0.41,0.37,2023-08-13,652,N,VIIRS,n,2,290.8,1.43,N,2
-2.17615,-80.04063,302.58,0.4,0.37,2023-08-19,639,N,VIIRS,n,2,289.66,1.0,N,2
-2.13653,-79.97504,334.15,0.56,0.43,2023-08-27,1828,N,VIIRS,n,2,296.8,4.91,D,0
-1.94515,-80.08606,308.68,0.41,0.37,2023-08-29,651,N,VIIRS,n,2,290.1,0.69,N,0
-2.07858,-79.96828,302.54,0.45,0.39,2023-08-30,633,N,VIIRS,n,2,291.35,0.61,N,0
-1.94183,-79.99181,351.18,0.41,0.37,2023-08-31,1854,N,VIIRS,n,2,299.2,5.75,D,0
-1.94127,-79.98816,337.29,0.41,0.37,2023-08-31,1854,N,VIIRS,n,2,298.06,5.75,D,0
-2.13057,-79.96426,328.95,0.63,0.72,2023-09-03,1757,N,VIIRS,n,2,288.54,6.68,D,0
-1.952,-79.9637,335.27,0.47,0.4,2023-09-05,1900,N,VIIRS,n,2,294.11,5.17,D,0
